42,정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,서울특별시 도봉구청,서울특별시 도봉구청/ 도봉문화원,,02-905-4026,,,서울특별시 도봉구 원당샘공원,,2018-05-01
43,정월대보름 큰잔치,도봉구청 광장/ 중랑천변,2015-03-05,2015-03-05,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,2018-05-01
44,도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,서울특별시 도봉구청,서울특별시 도봉구청/(사)도봉서원,,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,2018-05-01
45,도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,2018-05-01
46,도봉구민 건강축제,도봉구청/ 중랑천변,2015-10-16,2015-10-17,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,2018-05-01
47,도봉 과학축전,도봉구청 로비/ 아뜨리움/ 대강당/ 광장 등,2015-10-23,2015-10-28,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,2018-05-01
48,도봉구 등축제,우이천,2015-09-11,2015-09-30,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,2018-05-01
49,정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,서울특별시 도봉구청,서울특별시 도봉구청/ 도봉문화원,,02-905-4026,,,서울특별시 도봉구 원당샘공원,,2018-05-01
50,정월대보름 큰잔치,도봉구청 광장/ 중랑천변,2015-03-05,2015-03-05,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,2018-05-01
51,도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,서울특별시 도봉구청,서울특별시 도봉구청/(사)도봉서원,,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,2018-05-01
52,도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,2018-05-01
53,도봉구민 건강축제,도봉구청/ 중랑천변,2015-10-16,2015-10-17,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,2018-05-01
54,도봉 과학축전,도봉구청 로비/ 아뜨리움/ 대강당/ 광장 등,2015-10-23,2015-10-28,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,2018-05-01
55,도봉구 등축제,우이천,2015-09-11,2015-09-30,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,2018-05-01
